Activity Type;Date;Favorite;Title;Distance;Calories;Time;Avg HR;Max HR;Aerobic TE;Avg Run Cadence;Max Run Cadence;Avg Pace;Best Pace;Total Ascent;Total Descent;Avg Stride Length;Avg Vertical Ratio;Avg Vertical Oscillation;Avg Ground Contact Time;Avg GCT Balance;Avg Run Cadence;Max Run Cadence;Training Stress Score®;Avg Power;Max Power;Grit;Flow;Avg. Swolf;Avg Stroke Rate;Total Reps;Dive Time;Min Temp;Surface Interval;Decompression;Best Lap Time;Number of Laps;Max Temp;Moving Time;Elapsed Time;Min Elevation;Max Elevation
Running;18.02.2022 16:15;false;Rzewnie Bieganie;maj.21;301;00:22:39;158;173;03.lut;170;179;04:21;03:41;29;29;sty.35;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;00:58.97.4;6;0.0;00:22:31;00:22:39;83;98
Running;15.02.2022 19:22;false;Warszawa Bieganie;14.46;851;01:08:33;154;176;03.sie;167;196;04:44;02:56;68;66;sty.26;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;01:15.86;20;0.0;01:07:52;01:15:07;79;94
Running;12.02.2022 12:12;false;Warszawa Bieganie;28.kwi;1,647;02:14:37;156;166;04.wrz;171;183;04:48;04:02;144;145;sty.22;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;00:09.61.6;29;0.0;02:14:01;02:17:14;70;102
Running;09.02.2022 17:27;false;Warszawa Bieganie;14.82;949;01:16:04;154;185;4.0;162;201;05:08;02:53;140;148;sty.20;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;03.04.2022 00:52;20;0.0;01:14:43;01:40:14;77;118
Treadmill Running;08.02.2022 20:56;false;Bieg na bieżni;0.95;65;00:05:35.9;139;151;01.kwi;159;174;05:52;05:10;--;--;01.lip;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;05:35.88;1;0.0;00:05:33;00:05:35.9;--;--
Treadmill Running;08.02.2022 19:55;false;Bieg na bieżni;sty.84;131;00:11:33;138;146;2.0;157;203;06:17;03:30;--;--;sty.16;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;03:09.43.6;2;0.0;00:11:06;00:11:33;--;--
Running;06.02.2022 14:29;false;Warszawa Bieganie;25.lut;1,405;01:59:52;155;170;04.sie;169;185;04:47;03:41;72;71;sty.23;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;00:01.38.1;27;0.0;01:58:51;02:05:01;77;104
Running;04.02.2022 16:35;false;Warszawa Inne;gru.39;--;00:59:56;0;0;--;0;0;04:50;01:41;65;65;0.00;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;59:56.00;1;0.0;00:58:59;00:59:56;71;87
Running;01.02.2022 18:33;false;Warszawa Inne;lis.75;0;01:00:51;0;0;--;0;0;05:11;01:52;72;72;0.00;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;01:00:50.99.9;1;0.0;00:59:05;01:00:51;70;88
Running;29.01.2022 13:52;false;Izabelin Inne;23.73;--;01:56:24;0;0;--;0;0;04:54;02:03;152;148;0.00;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;02:03:23.99.9;1;0.0;02:02:14;02:03:24;81;106
